type,nom_organisme,ville,departement,site_web,nom_contact,prenom_contact,poste,email,telephone,source_url
OPH,Paris Habitat OPH,Paris,75,https://www.parishabitat.fr,Cécile,Belard du Plantys,Directeur Général,,,
OPH,Paris Habitat OPH,Paris,75,https://www.parishabitat.fr,Christophe,Argoud,DRH,,,
OPH,Seine-Saint-Denis Habitat,Bobigny,93,https://www.seinesaintdenishabitat.fr,Bertrand,Prade,Directeur Général,,,
OPH,Val d'Oise Habitat,Cergy,95,https://www.valdoisehabitat.fr,Séverine,Leplus,Directeur Général,,,
OPH,Plaine Commune Habitat,Saint-Denis,93,https://www.plainecommunehabitat.fr,Olivier,Rougier,Directeur Général,,,
OPH,Valophis Habitat,Créteil,94,https://www.groupevalophis.fr,Christian,Harcouët,Directeur Général (intérimaire),,,
OPH,Hauts-de-Seine Habitat,Nanterre,92,https://www.hautsdeseinehabitat.fr,Yann,Chevalier,Directeur Général,,,
OPH,Essonne Habitat,Ris-Orangis,91,https://www.essonne-habitat.fr,Céline,Lanctuit,Directeur Général,,,
OPH,Versailles Habitat,Versailles,78,https://versailles-habitat.fr,Éric,Le Coz,Directeur Général,,,
OPH,Oise Habitat,Creil,60,https://oisehabitat.fr,Benjamin,André,Directeur Général,,,
OPH,Lyon Métropole Habitat,Lyon,69,https://www.lmhabitat.fr,Vincent,Cristia,Directeur Général,,,
OPH,Lyon Métropole Habitat,Lyon,69,https://www.lmhabitat.fr,Isabelle,Scapin,DRH,,,
OPH,Deux Fleuves Rhône Habitat (ex OPAC du Rhône),Lyon,69,https://www.rhonehabitat.fr,Guillaume,Rio,Directeur Général,,,
OPH,Grenoble Alpes Métropole Habitat,Grenoble,38,https://www.grenoble-habitat.fr,,,,,,
OPH,Alpes Isère Habitat,Grenoble,38,https://alpeshabitat.fr,Laurent,Droulez,Directeur Général,,,
OPH,Alpes Isère Habitat,Grenoble,38,https://alpeshabitat.fr,Cécile,May,Responsable Formation,,,
OPH,OPAC Savoie,Chambéry,73,https://www.opac-savoie.fr,David,Jonnard,Directeur Général,,,
OPH,Toulouse Métropole Habitat,Toulouse,31,https://www.toulouse-metropole-habitat.fr,Luc,Laventure,Directeur Général,,,
OPH,Marseille Habitat,Marseille,13,https://www.marseillehabitat.fr,Frédéric,Pâris,Directeur Général,,,
OPH,Provence Métropole Logement (ex Habitat Marseille Provence),Marseille,13,https://www.habitat-marseille-provence.fr,Jean-Bernard,Dambier,Directeur Général,,,
OPH,Var Habitat,Toulon,83,https://www.varhabitat.com,Martial,Aubry,Directeur Général,,,
